MFCC_1;MFCC_2;MFCC_3;MFCC_4;MFCC_5;MFCC_6;MFCC_7;MFCC_8;MFCC_9;MFCC_10;MFCC_11;MFCC_12;MFCC_13;AVG_1;AVG_2;AVG_3;AVG_4;AVG_5;AVG_6;AVG_7;AVG_8;AVG_9;AVG_10;AVG_11;AVG_12;AVG_13;Palabra
41,88;1,68;0,53;0,51;0,5;0,86;0,72;0,48;-0,13;0,02;-0,14;-0,13;-0,31;46,74;1,48;-0,67;-0,11;0,3;0,08;-0,21;0,02;-0,28;-0,23;-0,11;-0,1;-0,23;0
39,27;2,34;0,02;0,51;0,12;0,24;0,77;0,42;0,07;0,01;-0,34;0,04;0,19;45,75;1,63;-0,29;0,2;0,37;0,22;-0,05;0,07;-0,2;-0,17;-0,18;-0,07;-0,14;0
37,8;1,18;-0,47;0,23;0,35;0,79;0,1;0,4;-0,37;0,38;-0,26;-0,03;-0,84;43,82;1,69;-0,1;0,32;0,32;0,29;0,01;0,07;-0,25;-0,12;-0,25;-0,13;-0,21;0
51,54;1,32;-2,26;-0,78;1,32;0,31;-0,18;-0,13;-0,52;-0,51;0,4;-0,23;-0,86;43,42;1,73;-0,09;0,29;0,38;0,29;-0,04;0;-0,28;-0,14;-0,2;-0,15;-0,26;0
53;2,23;-3,1;-1,02;1,21;0,07;0,09;0,56;-0,17;-0,11;1,23;0;-0,96;44,26;1,51;-0,35;0,19;0,44;0,3;0,02;0,04;-0,3;-0,14;-0,12;-0,18;-0,33;0
55,3;1,7;-2,27;-0,56;1,19;0,1;-0,19;0,66;-0,11;-0,1;0,64;-0,18;-1;45,22;1,55;-0,67;0,03;0,51;0,31;0,08;0,16;-0,33;-0,19;-0,05;-0,18;-0,37;0
45,9;3,52;-0,52;-0,07;0,22;-0,41;-0,18;0,47;-0,27;-0,02;0,19;-0,16;-0,75;45,25;1,81;-0,77;-0,05;0,5;0,25;0,07;0,24;-0,3;-0,16;0,03;-0,16;-0,45;0
44,8;1,58;0,16;1,22;0,33;-0,46;-0,14;0,1;-0,24;-0,08;-0,1;0;-0,24;45,41;1,86;-0,74;0,05;0,54;0,22;0,1;0,27;-0,28;-0,13;0,06;-0,15;-0,46;0
43,75;1,22;-0,67;0,62;0,17;-0,25;0,24;0,5;-0,63;-0,76;-0,71;-0,15;-0,63;45,7;1,85;-0,78;0,08;0,54;0,18;0,16;0,37;-0,25;-0,14;0,02;-0,11;-0,51;0
44,65;1,01;0,17;0,11;-0,29;-0,38;-0,21;0,04;-0,3;-0,14;-0,23;-0,05;-0,01;45,79;1,78;-0,84;0,08;0,51;0,09;0,1;0,35;-0,27;-0,13;0,07;-0,09;-0,54;0
39,83;2,62;-0,09;1,06;0,51;0,66;0,42;0,21;0,19;0,14;-0,6;-0,48;-0,25;45,58;1,87;-0,9;0,13;0,51;0,07;0,07;0,32;-0,24;-0,12;0,02;-0,12;-0,53;0
